Bar~0@0,Swing,4/4,A,140.0
Bar~43@172,Swing,4/4,A,140.0
Bass,33,172.0,1,71
Drums,36,172.0,0.25,64
Bass,40,173.0,1,62
Drums,36,173.0,0.25,78
Drums,44,173.0,0.25,65
Bass,33,174.0,1,73
Bass,28,175.0,1,67
Drums,44,175.0,0.25,76
Piano,52,175.0,1,76
Piano,57,175.0,1,77
Piano,61,175.0,1,71
Piano,64,175.0,1,68
Bar~44@176,Swing,4/4,A,140.0
Bass,38,176.0,1,78
Piano,50,176.0,1,63
Piano,54,176.0,1,74
Piano,57,176.0,1,70
Piano,62,176.0,1,77
Bass,38,177.0,1,65
Drums,44,177.0,0.25,63
Bass,38,178.0,1,78
Bass,45,179.0,0.666,61
Drums,44,179.0,0.25,73
Bar~45@180,Swing,4/4,A,140.0
Bass,50,180.0,1,73
Bass,54,181.0,1,73
Drums,44,181.0,0.25,64
Piano,54,181.0,1,71
Piano,57,181.0,1,69
Piano,62,181.0,1,77
Piano,69,181.0,1,61
Bass,38,182.0,1,63
Piano,54,182.0,0.666,66
Piano,57,182.0,0.666,60
Piano,62,182.0,0.666,65
Piano,69,182.0,0.666,68
Bass,33,183.0,0.750,67
Drums,44,183.0,0.25,63
Bar~46@184,Swing,4/4,A,140.0
Bass,38,184.0,0.750,70
Piano,50,184.0,1,62
Piano,53,184.0,1,77
Piano,57,184.0,1,68
Piano,62,184.0,1,80
Bass,38,185.0,1,66
Drums,44,185.0,0.25,64
Bass,38,186.0,0.5,67
Bass,33,187.0,1,79
Drums,44,187.0,0.25,77
Bar~47@188,Swing,4/4,A,140.0
Bass,31,188.0,1,75
Drums,36,188.0,0.333,61
Bass,30,189.0,1,64
Drums,44,189.0,0.25,69
Piano,50,189.0,0.666,79
Piano,55,189.0,0.666,70
Piano,59,189.0,0.666,69
Piano,62,189.0,0.666,63
Bass,31,190.0,0.5,66
Piano,50,190.0,1,70
Piano,55,190.0,1,77
Piano,59,190.0,1,80
Piano,62,190.0,1,70
Bass,38,191.0,0.5,70
Drums,36,191.0,0.25,66
Drums,44,191.0,0.25,78
Bar~48@192,Swing,4/4,A,140.0
Bass,36,192.0,1,72
Bass,31,193.0,0.750,71
Drums,44,193.0,0.25,65
Bass,36,194.0,0.666,80
Drums,44,194.0,0.25,68
Piano,48,194.0,1,79
Piano,52,194.0,1,66
Piano,55,194.0,1,75
Piano,60,194.0,1,75
Bass,43,195.0,1,77
Drums,44,195.0,0.25,62
Bar~49@196,Swing,4/4,A,140.0
Bass,36,196.0,1,74
Drums,44,196.0,0.25,64
Bass,36,197.0,1,80
Drums,44,197.0,0.25,74
Bass,36,198.0,1,78
Drums,44,198.0,0.25,78
Piano,52,198.0,0.666,66
Piano,55,198.0,0.666,68
Piano,60,198.0,0.666,71
Piano,67,198.0,0.666,77
Bass,31,199.0,0.750,68
Drums,44,199.0,0.25,79
Bar~50@200,Swing,4/4,A,140.0
Bass,35,200.0,0.5,71
Drums,44,200.0,0.25,63
Bass,29,201.0,1,60
Drums,44,201.0,0.25,66
Bass,35,202.0,1,79
Drums,44,202.0,0.25,61
Piano,50,202.0,1,68
Piano,59,202.0,1,79
Piano,65,202.0,1,75
Piano,71,202.0,1,67
Piano,77,202.0,1,79
Bass,29,203.0,1,61
Drums,44,203.0,0.25,62
