kern2csv4playerString:  Bar~0@0, B, 4/4, A, 140
Drums, 36, 130.0, 1, 65
Drums, 44, 130.0, 1, 64
Piano, 52, 130.0, 1, 63
Piano, 55, 130.0, 1, 63
Piano, 60, 130.0, 1, 77
Piano, 67, 130.0, 1, 75
Drums, 44, 131.0, 1, 75
Bar~33@132, B, 4/4, A, 140
Bass, 41, 132.0, 1, 70
Drums, 36, 132.0, 1, 66
Drums, 44, 132.0, 1, 72
Piano, 57, 132.0, 1, 77
Piano, 60, 132.0, 1, 65
Piano, 65, 132.0, 1, 70
Piano, 72, 132.0, 1, 61
Drums, 44, 133.0, 1, 73
Bass, 29, 134.0, 1, 77
Drums, 36, 134.0, 1, 62
Drums, 44, 134.0, 1, 70
Drums, 44, 135.0, 1, 67
Bar~34@136, B, 4/4, A, 140
Bass, 36, 136.0, 1, 67
Drums, 36, 136.0, 1, 73
Drums, 44, 136.0, 1, 69
Drums, 44, 137.0, 1, 62
Bass, 36, 138.0, 1, 62
Drums, 36, 138.0, 1, 69
Drums, 44, 138.0, 1, 79
Drums, 44, 139.0, 1, 62
Bar~35@140, B, 4/4, A, 140
Bass, 36, 140.0, 1, 78
Drums, 36, 140.0, 1, 60
Drums, 44, 140.0, 1, 80
Drums, 44, 141.0, 1, 76
Bass, 36, 142.0, 1, 76
Drums, 36, 142.0, 1, 73
Drums, 44, 142.0, 1, 63
Drums, 44, 143.0, 1, 77
Bar~36@144, B, 4/4, A, 140
Bass, 31, 144.0, 1, 73
Drums, 36, 144.0, 1, 78
Drums, 44, 144.0, 1, 75
Drums, 44, 145.0, 1, 77
Bass, 31, 146.0, 1, 76
Drums, 36, 146.0, 1, 63
Drums, 44, 146.0, 1, 73
Drums, 44, 147.0, 1, 62
Bar~37@148, B, 4/4, A, 140
Bass, 36, 148.0, 1, 61
Drums, 36, 148.0, 1, 62
Drums, 44, 148.0, 1, 78
Drums, 44, 149.0, 1, 72
Bass, 36, 150.0, 1, 79
Drums, 36, 150.0, 1, 69
Drums, 44, 150.0, 1, 71
Drums, 44, 151.0, 1, 62
Bar~38@152, B, 4/4, A, 140
Bass, 41, 152.0, 1, 61
Drums, 36, 152.0, 1, 80
Drums, 44, 152.0, 1, 74
Drums, 44, 153.0, 1, 73
Bass, 48, 154.0, 1, 73
Drums, 36, 154.0, 1, 69
Drums, 44, 154.0, 1, 66
Drums, 44, 155.0, 1, 64
Bar~39@156, B, 4/4, A, 140
Bass, 41, 156.0, 1, 67
Drums, 36, 156.0, 1, 63
Drums, 44, 156.0, 1, 74
Drums, 44, 157.0, 1, 61
Bass, 29, 158.0, 1, 71
Drums, 36, 158.0, 1, 60
Drums, 44, 158.0, 1, 79
Drums, 44, 159.0, 1, 73
Bar~40@160, B, 4/4, A, 140
Bass, 33, 160.0, 1, 66
Drums, 36, 160.0, 1, 64
Drums, 44, 160.0, 1, 60
Drums, 44, 161.0, 1, 79
Bass, 38, 162.0, 1, 60
Drums, 36, 162.0, 1, 74
Drums, 44, 162.0, 1, 78
Piano, 50, 162.0, 1, 67
Piano, 53, 162.0, 1, 76
Piano, 57, 162.0, 1, 64
Piano, 62, 162.0, 1, 73
Drums, 44, 163.0, 1, 73
Piano, 50, 163.0, 1, 71
Piano, 53, 163.0, 1, 71
Piano, 57, 163.0, 1, 77
Piano, 62, 163.0, 1, 60
Bar~41@164, B, 4/4, A, 140
Bass, 31, 164.0, 1, 68
Drums, 36, 164.0, 1, 77
Drums, 44, 164.0, 1, 78
Piano, 50, 164.0, 1, 68
Piano, 55, 164.0, 1, 66
Piano, 59, 164.0, 1, 63
Piano, 62, 164.0, 1, 70
Drums, 44, 165.0, 1, 70
Piano, 55, 165.0, 1, 80
Piano, 59, 165.0, 1, 76
Piano, 62, 165.0, 1, 62
Piano, 67, 165.0, 1, 79
Bass, 31, 166.0, 1, 74
Drums, 36, 166.0, 1, 77
Drums, 44, 166.0, 1, 79
Drums, 44, 167.0, 1, 70
Bar~42@168, B, 4/4, A, 140
Bass, 43, 168.0, 1, 68
Drums, 36, 168.0, 1, 67
Drums, 44, 168.0, 1, 60
Piano, 52, 168.0, 1, 60
Piano, 60, 168.0, 1, 69
Piano, 67, 168.0, 1, 73
Piano, 72, 168.0, 1, 75
Piano, 79, 168.0, 1, 63
Drums, 44, 169.0, 1, 73
Bass, 36, 170.0, 1, 63
Drums, 36, 170.0, 1, 74
Drums, 44, 170.0, 1, 79
Bass, 40, 171.0, 1, 60
Drums, 44, 171.0, 1, 68
Piano, 55, 171.0, 1, 73
Piano, 60, 171.0, 1, 62
Piano, 64, 171.0, 1, 68
Piano, 72, 171.0, 1, 67
Piano, 79, 171.0, 1, 75
Piano, 84, 171.0, 1, 75
Bar~43@172, B, 4/4, A, 140
Bass, 36, 172.0, 1, 71
Drums, 36, 172.0, 1, 69
Drums, 44, 172.0, 1, 77
Piano, 55, 172.0, 1, 68
Piano, 60, 172.0, 1, 73
Piano, 64, 172.0, 1, 61
Piano, 67, 172.0, 1, 76
Drums, 44, 173.0, 1, 77
Piano, 55, 173.0, 1, 77
Piano, 60, 173.0, 1, 78
Piano, 64, 173.0, 1, 64
Piano, 67, 173.0, 1, 78
Bass, 36, 174.0, 1, 78
Drums, 36, 174.0, 1, 65
Drums, 44, 174.0, 1, 61
Drums, 44, 175.0, 1, 65
Bar~44@176, B, 4/4, A, 140
Bass, 30, 176.0, 1, 61
Drums, 36, 176.0, 1, 71
Drums, 44, 176.0, 1, 68
Piano, 54, 176.0, 1, 73
Piano, 57, 176.0, 1, 62
Piano, 60, 176.0, 1, 79
Piano, 66, 176.0, 1, 65
Drums, 44, 177.0, 1, 67
Bass, 42, 178.0, 1, 64
Drums, 36, 178.0, 1, 60
Drums, 44, 178.0, 1, 78
Drums, 44, 179.0, 1, 70
Piano, 57, 179.0, 1, 63
Piano, 66, 179.0, 1, 69
Piano, 72, 179.0, 1, 77
Piano, 78, 179.0, 1, 64
Piano, 84, 179.0, 1, 69
Bar~45@180, B, 4/4, A, 140
Bass, 35, 180.0, 1, 65
Drums, 36, 180.0, 1, 73
Drums, 44, 180.0, 1, 73
Piano, 54, 180.0, 1, 71
Piano, 59, 180.0, 1, 63
Piano, 63, 180.0, 1, 64
Piano, 71, 180.0, 1, 76
Piano, 78, 180.0, 1, 76
Piano, 83, 180.0, 1, 78
Drums, 44, 181.0, 1, 68
Piano, 54, 181.0, 1, 70
Piano, 59, 181.0, 1, 79
Piano, 63, 181.0, 1, 65
Piano, 71, 181.0, 1, 75
Piano, 78, 181.0, 1, 76
Piano, 83, 181.0, 1, 69
Bass, 35, 182.0, 1, 63
Drums, 36, 182.0, 1, 67
Drums, 44, 182.0, 1, 70
Drums, 44, 183.0, 1, 73
Bar~46@184, B, 4/4, A, 140
Bass, 28, 184.0, 1, 61
Drums, 36, 184.0, 1, 66
Drums, 44, 184.0, 1, 72
Drums, 44, 185.0, 1, 65
Bass, 33, 186.0, 1, 64
Drums, 36, 186.0, 1, 70
Drums, 44, 186.0, 1, 70
Drums, 44, 187.0, 1, 64
Bar~47@188, B, 4/4, A, 140
Bass, 38, 188.0, 1, 79
Drums, 36, 188.0, 1, 70
Drums, 44, 188.0, 1, 72
Drums, 44, 189.0, 1, 60
Bass, 43, 190.0, 1, 66
Drums, 44, 190.0, 1, 79
Piano, 50, 190.0, 1, 65
Piano, 55, 190.0, 1, 63
Piano, 59, 190.0, 1, 78
Piano, 62, 190.0, 1, 68
Bass, 45, 191.0, 1, 62
Drums, 44, 191.0, 1, 72
Bar~48@192, B, 4/4, A, 140
Bass, 45, 192.0, 1, 73
Drums, 44, 193.0, 1, 60
Bass, 33, 194.0, 1, 68
Drums, 36, 194.0, 1, 60
Drums, 44, 194.0, 1, 69
Bass, 28, 195.0, 1, 66
Drums, 44, 195.0, 1, 74
Piano, 60, 195.0, 1, 63
Piano, 64, 195.0, 1, 77
Piano, 69, 195.0, 1, 68
Piano, 76, 195.0, 1, 63
Bar~49@196, B, 4/4, A, 140
Bass, 31, 196.0, 1, 75
Drums, 36, 196.0, 1, 69
Drums, 44, 196.0, 1, 65
Piano, 60, 196.0, 1, 67
Piano, 64, 196.0, 1, 70
Piano, 69, 196.0, 1, 69
Piano, 76, 196.0, 1, 64
Drums, 44, 197.0, 1, 61
Piano, 57, 197.0, 1, 67
Piano, 60, 197.0, 1, 68
Piano, 64, 197.0, 1, 69
Piano, 69, 197.0, 1, 77
Bass, 31, 198.0, 1, 80
Drums, 36, 198.0, 1, 70
Drums, 44, 198.0, 1, 77
Drums, 44, 199.0, 1, 63
Bar~50@200, B, 4/4, A, 140
Bass, 30, 200.0, 1, 68
Drums, 36, 200.0, 1, 79
Drums, 44, 200.0, 1, 74
Drums, 44, 201.0, 1, 73
Piano, 57, 201.0, 1, 66
Piano, 62, 201.0, 1, 65
Piano, 66, 201.0, 1, 79
Piano, 69, 201.0, 1, 74
Bass, 30, 202.0, 1, 79
Drums, 36, 202.0, 1, 68
Drums, 44, 202.0, 1, 68
Piano, 57, 202.0, 1, 64
Piano, 62, 202.0, 1, 68
Piano, 66, 202.0, 1, 79
Piano, 69, 202.0, 1, 75
Drums, 44, 203.0, 1, 61
Bar~51@204, B, 4/4, A, 140
Bass, 41, 204.0, 1, 60
Drums, 36, 204.0, 1, 71
Drums, 44, 204.0, 1, 61
Drums, 44, 205.0, 1, 79
Bass, 29, 206.0, 1, 62
Drums, 36, 206.0, 1, 75
Drums, 44, 206.0, 1, 68
Drums, 44, 207.0, 1, 60
Bar~52@208, B, 4/4, A, 140
Bass, 33, 208.0, 1, 74
Drums, 36, 208.0, 1, 78
Drums, 44, 208.0, 1, 72
Piano, 60, 208.0, 1, 73
Piano, 64, 208.0, 1, 73
Piano, 69, 208.0, 1, 70
Piano, 76, 208.0, 1, 63
Drums, 44, 209.0, 1, 77
Bass, 33, 210.0, 1, 67
Drums, 36, 210.0, 1, 77
Drums, 44, 210.0, 1, 72
Drums, 44, 211.0, 1, 73
Piano, 60, 211.0, 1, 76
Piano, 64, 211.0, 1, 75
Piano, 69, 211.0, 1, 66
Piano, 76, 211.0, 1, 68
Bar~53@212, B, 4/4, A, 140
Bass, 35, 212.0, 1, 63
Drums, 36, 212.0, 1, 68
Drums, 44, 212.0, 1, 66
Piano, 50, 212.0, 1, 67
Piano, 59, 212.0, 1, 67
Piano, 65, 212.0, 1, 75
Piano, 71, 212.0, 1, 67
Piano, 77, 212.0, 1, 63
Drums, 44, 213.0, 1, 75
Piano, 50, 213.0, 1, 61
Piano, 59, 213.0, 1, 77
Piano, 65, 213.0, 1, 61
Piano, 71, 213.0, 1, 64
Piano, 77, 213.0, 1, 74
Bass, 40, 214.0, 1, 65
Drums, 36, 214.0, 1, 70
Drums, 44, 214.0, 1, 64
Drums, 44, 215.0, 1, 63
Bar~54@216, B, 4/4, A, 140
Bass, 33, 216.0, 1, 76
Drums, 36, 216.0, 1, 65
Drums, 44, 216.0, 1, 72
Drums, 44, 217.0, 1, 75
Bass, 36, 218.0, 1, 63
Drums, 36, 218.0, 1, 74
Drums, 44, 218.0, 1, 66
Drums, 44, 219.0, 1, 73
Bar~55@220, B, 4/4, A, 140
Bass, 33, 220.0, 1, 68
Drums, 36, 220.0, 1, 65
Drums, 44, 220.0, 1, 69
Drums, 44, 221.0, 1, 63
Bass, 36, 222.0, 1, 63
Drums, 44, 222.0, 1, 64
Piano, 60, 222.0, 1, 61
Piano, 64, 222.0, 1, 79
Piano, 69, 222.0, 1, 80
Piano, 76, 222.0, 1, 62
Bass, 33, 223.0, 1, 73
Bar~56@224, B, 4/4, A, 140
Bass, 45, 224.0, 1, 60
Drums, 44, 225.0, 1, 69
Piano, 60, 225.0, 1, 66
Piano, 64, 225.0, 1, 68
Piano, 69, 225.0, 1, 80
Piano, 76, 225.0, 1, 80
Bass, 45, 226.0, 1, 61
Drums, 36, 226.0, 1, 65
Drums, 44, 226.0, 1, 76
Drums, 44, 227.0, 1, 67
Bar~57@228, B, 4/4, A, 140
Bass, 45, 228.0, 1, 80
Drums, 36, 228.0, 1, 78
Drums, 44, 228.0, 1, 70
Drums, 44, 229.0, 1, 77
Bass, 33, 230.0, 1, 73
Drums, 36, 230.0, 1, 71
Drums, 44, 230.0, 1, 74
