kern2csv4playerString: Bar~0@0, Swing, 4/4, A, 140
Piano, 67, 136.0, 1, 66
Piano, 64, 136.0, 1, 62
Bass, 34, 137.0, 1, 79
Drums, 44, 137.0, 0.333, 76
Drums, 44, 137.666, 0.333, 76
Bass, 33, 138.0, 1, 64
Drums, 44, 138.0, 1, 72
Bass, 34, 139.0, 1, 60
Drums, 44, 139.0, 0.333, 75
Drums, 44, 139.666, 0.333, 69
Bar~35@140, Swing, 4/4, A, 140
Bass, 34, 140.0, 1, 76
Drums, 44, 140.0, 1, 72
Bass, 39, 141.0, 1, 60
Drums, 44, 141.0, 1, 70
Piano, 58, 141.0, 1, 80
Piano, 55, 141.0, 1, 71
Piano, 50, 141.0, 1, 71
Piano, 64, 141.0, 1, 62
Drums, 36, 141.666, 0.333, 75
Bass, 40, 142.0, 1, 68
Drums, 36, 142.0, 0.333, 79
Drums, 44, 142.0, 1, 62
Piano, 58, 142.0, 1, 75
Piano, 55, 142.0, 1, 76
Piano, 49, 142.0, 1, 71
Piano, 64, 142.0, 1, 70
Drums, 36, 142.666, 0.333, 65
Bass, 45, 143.0, 1, 76
Drums, 44, 143.0, 1, 71
Bar~36@144, Swing, 4/4, A, 140
Bass, 36, 144.0, 1, 67
Drums, 36, 144.0, 1, 75
Drums, 44, 144.0, 1, 79
Bass, 40, 145.0, 1, 78
Drums, 44, 145.0, 0.333, 80
Drums, 44, 145.666, 0.333, 72
Bass, 36, 146.0, 1, 72
Drums, 44, 146.0, 1, 61
Bass, 35, 147.0, 1, 78
Drums, 44, 147.0, 1, 66
Bar~37@148, Swing, 4/4, A, 140
Bass, 33, 148.0, 1, 68
Drums, 44, 148.0, 0.333, 72
Drums, 44, 148.666, 0.333, 78
Bass, 38, 149.0, 1, 68
Drums, 44, 149.0, 1, 63
Piano, 54, 149.0, 1, 66
Piano, 69, 149.0, 1, 64
Piano, 62, 149.0, 1, 72
Piano, 60, 149.0, 1, 63
Bass, 38, 150.0, 1, 79
Drums, 44, 150.0, 0.333, 60
Piano, 74, 150.0, 1, 76
Piano, 69, 150.0, 1, 71
Piano, 66, 150.0, 1, 64
Piano, 60, 150.0, 1, 79
Drums, 44, 150.666, 0.333, 70
Bass, 33, 151.0, 1, 61
Drums, 44, 151.0, 1, 73
Drums, 36, 151.666, 0.333, 73
Bar~38@152, Swing, 4/4, A, 140
Bass, 45, 152.0, 1, 65
Drums, 44, 152.0, 1, 63
Bass, 50, 153.0, 1, 76
Drums, 44, 153.0, 0.333, 62
